company_id,company_name,cnpj,segment,company_size,contract_start_date,monthly_transaction_volume,status,churn_risk_score,created_at
COMP00001,Sousa Ltda.,91.214.125/5506-41,HEALTHCARE,MEDIUM,2024-03-25,3683673.71,SUSPENDED,0.71,2024-02-24 00:00:00
COMP00002,Sousa Caldeira e Filhos,79.189.704/7912-14,RETAIL,SMALL,2022-04-05,1097096.68,ACTIVE,0.58,2022-03-06 00:00:00
COMP00003,Pastor - ME,81.303.833/9928-63,HEALTHCARE,ENTERPRISE,2024-09-26,2948382.09,ACTIVE,0.72,2024-08-27 00:00:00
COMP00004,Cunha S.A.,30.814.532/6574-45,SERVICES,MEDIUM,2021-03-12,4786279.3,ACTIVE,0.11,2021-02-10 00:00:00
COMP00005,Novais S.A.,58.199.467/6635-87,EDUCATION,SMALL,2023-07-24,3650010.27,ACTIVE,0.13,2023-06-24 00:00:00
COMP00006,Câmara,58.180.665/5803-90,ECOMMERCE,MEDIUM,2024-08-12,3524336.32,ACTIVE,0.63,2024-07-13 00:00:00
COMP00007,Abreu,47.181.975/4814-22,AUTOMOTIVE,LARGE,2023-04-13,2269784.46,ACTIVE,0.16,2023-03-14 00:00:00
COMP00008,Sampaio Lima Ltda.,55.314.786/5374-99,RESTAURANT,MEDIUM,2024-10-29,2673028.69,ACTIVE,0.16,2024-09-29 00:00:00
COMP00009,Teixeira Fernandes S/A,58.376.755/4598-97,ECOMMERCE,SMALL,2022-06-04,1149095.12,ACTIVE,0.77,2022-05-05 00:00:00
COMP00010,Fogaça Ltda.,61.374.167/4456-82,ECOMMERCE,MEDIUM,2021-07-01,3278916.13,ACTIVE,0.84,2021-06-01 00:00:00
COMP00011,Siqueira - ME,92.569.246/5339-27,HEALTHCARE,LARGE,2024-01-20,3736333.99,ACTIVE,0.85,2023-12-21 00:00:00
COMP00012,Barros,61.470.324/3266-75,BEAUTY,SMALL,2023-09-19,3780131.88,ACTIVE,0.15,2023-08-20 00:00:00
COMP00013,Oliveira,30.911.796/7916-86,RESTAURANT,ENTERPRISE,2023-10-18,1911188.34,ACTIVE,0.51,2023-09-18 00:00:00
COMP00014,Aparecida e Filhos,80.981.111/2876-97,EDUCATION,LARGE,2021-12-30,562203.11,ACTIVE,0.16,2021-11-30 00:00:00
COMP00015,Barros,10.839.996/5315-74,SERVICES,SMALL,2022-03-05,4353240.26,ACTIVE,0.8,2022-02-03 00:00:00
COMP00016,Garcia Ltda.,74.723.303/3504-57,SERVICES,SMALL,2025-04-23,2996728.2,ACTIVE,0.03,2025-03-24 00:00:00
COMP00017,Castro,56.999.951/6038-40,RETAIL,MEDIUM,2023-04-20,4390657.95,ACTIVE,0.09,2023-03-21 00:00:00
