ticket_id,company_id,customer_id,agent_id,created_at,updated_at,closed_at,status,priority,category,subcategory,channel,subject,description,tags,resolution_time_hours,first_response_time_minutes,sla_breached,nps_score,csat_score,sentiment,escalated,reopened_count,related_ticket_ids
TKT000001,COMP00023,CUST00110,AGENT020,2026-01-04 00:31:22,2026-01-06 00:31:22,2026-01-08 03:18:46,CLOSED,LOW,COMPLAINT,LONG_WAIT,EMAIL,Too long wait time for support,I have been waiting for 101 minutes to be served. This is unacceptable!,COMPLAINT|LONG_WAIT|SLA_BREACHED,98.79,67,TRUE,8,1.9,NEGATIVE,TRUE,0,
TKT000002,COMP00047,CUST00242,AGENT016,2026-01-09 13:48:22,2026-01-10 20:48:22,2026-01-14 03:16:34,RESOLVED,HIGH,COMPLAINT,POOR_SERVICE,CHAT,Dissatisfied with service,I am very dissatisfied with the service. I have opened 3 tickets and no one has solved my problem.,COMPLAINT|POOR_SERVICE|SLA_BREACHED,109.47,198,TRUE,,,VERY_NEGATIVE,FALSE,0,
TKT000003,COMP00025,CUST00046,AGENT006,2025-11-30 10:14:22,2025-12-01 13:14:22,2025-12-06 14:31:10,CLOSED,HIGH,TECHNICAL,UPDATE_NEEDED,LIVE_CHAT,Terminal update request,The terminal is asking for an update but I cannot do it. How do I proceed?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED,148.28,50,TRUE,,,POSITIVE,FALSE,0,
TKT000004,COMP00042,CUST00149,AGENT010,2025-10-10 17:29:22,2025-10-11 23:29:22,,IN_PROGRESS,CRITICAL,COMPLAINT,SYSTEM_DOWN,PHONE,System down for hours,The system has been down since 17am and I am losing sales. I need an urgent solution!,COMPLAINT|SYSTEM_DOWN|CHURN_RISK|URGENT,,333,FALSE,,,VERY_NEGATIVE,FALSE,0,
TKT000005,COMP00089,CUST00099,AGENT006,2025-10-26 07:38:22,2025-10-26 08:38:22,2025-10-31 11:31:10,RESOLVED,LOW,TECHNICAL,UPDATE_NEEDED,PORTAL,Terminal update request,The terminal is asking for an update but I cannot do it. How do I proceed?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED|CHURN_RISK,123.88,207,TRUE,,,NEGATIVE,FALSE,0,
TKT000006,COMP00018,CUST00208,AGENT005,2025-10-21 01:28:22,2025-10-22 08:28:22,2025-10-23 08:10:22,RESOLVED,LOW,TECHNICAL,CONNECTION_ERROR,CHAT,Connection error with terminal,"I am experiencing connection problems with the terminal. It shows ""Communication failure"" error every time I try to process a payment.",TECHNICAL|CONNECTION_ERROR|SLA_BREACHED,54.7,68,TRUE,,,POSITIVE,FALSE,0,
TKT000007,COMP00085,CUST00137,AGENT012,2025-08-29 08:11:22,2025-08-31 05:11:22,2025-08-31 00:16:10,RESOLVED,LOW,TECHNICAL,UPDATE_NEEDED,LIVE_CHAT,Terminal update request,The terminal is asking for an update but I cannot do it. How do I proceed?,TECHNICAL|UPDATE_NEEDED|CHURN_RISK,40.08,175,FALSE,,,POSITIVE,FALSE,0,
TKT000008,COMP00071,CUST00258,AGENT008,2025-09-24 18:59:22,2025-09-25 09:59:22,2025-10-01 11:50:58,CLOSED,LOW,FINANCIAL,MISSING_PAYMENT,PORTAL,Payment not deposited to account,I made sales on 09/23/2025 totaling $6567.76 and the amount was not credited to my account.,FINANCIAL|MISSING_PAYMENT|SLA_BREACHED,160.86,127,TRUE,9,2.49,VERY_NEGATIVE,FALSE,0,
TKT000009,COMP00072,CUST00127,AGENT003,2025-11-22 21:53:22,2025-11-24 10:53:22,2025-11-23 17:10:46,RESOLVED,MEDIUM,FINANCIAL,RECEIPT_ERROR,PORTAL,Receipt not printed,I made a sale of $501.16 but the receipt was not printed. Customer is asking for a receipt.,FINANCIAL|RECEIPT_ERROR,19.29,217,FALSE,,,NEUTRAL,FALSE,0,
TKT000010,COMP00091,CUST00267,AGENT017,2025-12-18 20:35:22,2025-12-20 01:35:22,2025-12-24 12:32:58,RESOLVED,LOW,TECHNICAL,UPDATE_NEEDED,PORTAL,Terminal update request,The terminal is asking for an update but I cannot do it. How do I proceed?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED,135.96,121,TRUE,,,NEUTRAL,FALSE,0,
