ticket_id,company_id,customer_id,agent_id,created_at,updated_at,closed_at,status,priority,category,subcategory,channel,subject,description,tags,resolution_time_hours,first_response_time_minutes,sla_breached,nps_score,csat_score,sentiment,escalated,reopened_count,related_ticket_ids
TKT000001,COMP00100,CUST00170,,2025-12-01 02:33:54,2025-12-01 15:33:54,,OPEN,MEDIUM,FINANCIAL,WRONG_FEE,CHAT,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE,,,FALSE,,,POSITIVE,FALSE,0,
TKT000002,COMP00059,CUST00021,AGENT007,2025-10-11 10:36:54,2025-10-12 08:36:54,2025-10-13 13:53:42,CLOSED,LOW,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 2979.16 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|SLA_BREACHED,51.28,237,TRUE,3,4.85,POSITIVE,FALSE,0,
TKT000003,COMP00014,CUST00105,AGENT018,2025-12-23 09:52:54,2025-12-25 03:52:54,2025-12-25 22:33:42,CLOSED,LOW,FINANCIAL,WRONG_FEE,CHAT,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE|SLA_BREACHED,60.68,71,TRUE,7,2.86,VERY_NEGATIVE,FALSE,0,
TKT000004,COMP00073,CUST00212,,2026-01-11 09:40:54,2026-01-12 23:40:54,,OPEN,MEDIUM,TECHNICAL,PIX_ERROR,CHAT,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR,,,FALSE,,,VERY_NEGATIVE,FALSE,0,
TKT000005,COMP00010,CUST00195,AGENT024,2025-12-08 09:56:54,2025-12-10 03:56:54,,PENDING_CUSTOMER,HIGH,COMPLAINT,POOR_SERVICE,WHATSAPP,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE|CHURN_RISK,,383,FALSE,,,VERY_NEGATIVE,FALSE,0,
TKT000006,COMP00012,CUST00087,AGENT021,2026-01-06 23:56:54,2026-01-07 03:56:54,2026-01-10 16:12:30,CLOSED,MEDIUM,TECHNICAL,PIX_ERROR,EMAIL,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|SLA_BREACHED,88.26,219,TRUE,,,POSITIVE,FALSE,0,
TKT000007,COMP00077,CUST00119,AGENT022,2026-01-10 13:27:54,2026-01-12 05:27:54,2026-01-16 22:51:18,RESOLVED,MEDIUM,FINANCIAL,CHARGEBACK,EMAIL,Estorno indevido na conta,Foi realizado um estorno de R$ 2578.09 na minha conta sem autorização. Preciso entender o motivo e reverter.,FINANCIAL|CHARGEBACK|SLA_BREACHED,153.39,173,TRUE,,,VERY_NEGATIVE,TRUE,0,
TKT000008,COMP00005,CUST00007,,2026-01-12 18:10:54,2026-01-14 14:10:54,,OPEN,HIGH,COMPLAINT,POOR_SERVICE,PHONE,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE,,,FALSE,,,VERY_NEGATIVE,TRUE,0,
TKT000009,COMP00053,CUST00077,AGENT013,2026-01-02 21:54:54,2026-01-04 03:54:54,2026-01-06 21:03:18,RESOLVED,LOW,FINANCIAL,MISSING_PAYMENT,CHAT,Pagamento não caiu na conta,Realizei vendas no dia 30/12/2025 no valor de R$ 3039.58 e o valor não foi creditado na minha conta.,FINANCIAL|MISSING_PAYMENT|SLA_BREACHED|CHURN_RISK,95.14,183,TRUE,,,NEUTRAL,FALSE,0,
TKT000010,COMP00056,CUST00017,,2026-01-09 05:03:54,2026-01-09 16:03:54,,OPEN,LOW,COMPLAINT,POOR_SERVICE,WHATSAPP,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 5 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE,,,FALSE,,,NEGATIVE,FALSE,0,
